Unnamed: 0,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Hurghada,27.2574,33.8129,80.44,46,0,24.47,EG,2021-06-16 22:12:40
1,Wanning,18.8003,110.3967,80.73,87,71,8.3,CN,2021-06-16 22:14:09
2,Cortes,41.9395,-1.4396,79.7,59,43,3.47,ES,2021-06-16 22:14:10
3,Atuona,-9.8,-139.0333,79.38,76,22,23.82,PF,2021-06-16 22:14:10
4,Novo AripuanÃ£,-5.1206,-60.3797,75.24,95,66,0.54,BR,2021-06-16 22:14:11
5,Esperance,-33.8667,121.9,54.64,70,100,10.94,AU,2021-06-16 22:14:11
6,âEwa Beach,21.3156,-158.0072,85.37,50,75,17.27,US,2021-06-16 22:10:58
7,Santa Fe,-31.6333,-60.7,45.3,84,100,1.99,AR,2021-06-16 22:10:10
8,Bengkulu,-3.8004,102.2655,74.62,90,93,3.83,ID,2021-06-16 22:14:12
9,Puerto Ayora,-0.7393,-90.3518,76.55,82,25,5.99,EC,2021-06-16 22:14:12
10,Hilo,19.7297,-155.09,77.52,76,90,5.75,US,2021-06-16 22:14:13
11,Busselton,-33.65,115.3333,39.09,80,0,7.52,AU,2021-06-16 22:14:13
12,Rikitea,-23.1203,-134.9692,74.08,80,97,23.17,PF,2021-06-16 22:14:14
13,Sibu,2.3,111.8167,72.0,99,100,1.86,MY,2021-06-16 22:14:14
14,Ancud,-41.8697,-73.8203,44.13,70,0,8.14,CL,2021-06-16 22:14:14
15,Vaini,-21.2,-175.2,78.96,83,75,8.05,TO,2021-06-16 22:14:15
16,George Town,5.4112,100.3354,81.91,87,20,0.0,MY,2021-06-16 22:14:15
17,Torbay,47.6666,-52.7314,60.71,97,90,13.8,CA,2021-06-16 22:09:37
18,Atar,20.5169,-13.0499,95.92,15,7,11.97,MR,2021-06-16 22:14:16
19,Jamestown,42.097,-79.2353,62.76,44,1,4.0,US,2021-06-16 22:14:16
20,Yuci,37.6803,112.7319,64.15,88,40,2.24,CN,2021-06-16 22:14:17
21,Raja,8.4596,25.678,70.25,94,90,6.55,SS,2021-06-16 22:14:17
22,Avarua,-21.2078,-159.775,78.85,83,20,20.71,CK,2021-06-16 22:14:17
23,Mataura,-46.1927,168.8643,40.48,95,92,1.5,NZ,2021-06-16 22:14:18
24,Hobyo,5.3505,48.5268,76.96,86,100,23.89,SO,2021-06-16 22:14:18
25,Alofi,-19.0595,-169.9187,80.49,78,75,10.36,NU,2021-06-16 22:14:19
26,Saint-FranÃ§ois,46.4154,3.9054,69.31,78,0,5.75,FR,2021-06-16 22:14:19
27,Pakxan,18.3778,103.6601,74.3,96,65,1.99,LA,2021-06-16 22:14:20
28,Umluj,25.0213,37.2685,82.22,57,0,9.78,SA,2021-06-16 22:14:20
29,SÃ£o Filipe,14.8961,-24.4956,72.82,83,16,5.68,CV,2021-06-16 22:14:20
30,Muisne,0.6,-80.0333,80.71,83,88,8.01,EC,2021-06-16 22:14:21
31,Yinchuan,38.4681,106.2731,58.19,52,59,2.19,CN,2021-06-16 22:14:21
32,Dakar,14.6937,-17.4441,77.88,84,42,12.53,SN,2021-06-16 22:13:12
33,Key West,24.5557,-81.7826,77.2,92,90,33.38,US,2021-06-16 22:10:31
34,Baikunthpur,23.25,82.55,78.53,66,100,6.49,IN,2021-06-16 22:11:09
35,Inhambane,-23.865,35.3833,67.73,82,9,8.39,MZ,2021-06-16 22:14:22
36,San Patricio,28.017,-97.5169,90.59,49,1,14.2,US,2021-06-16 22:14:22
37,Cayenne,4.9333,-52.3333,79.09,88,75,1.01,GF,2021-06-16 22:14:23
38,Bethel,41.3712,-73.414,72.54,42,1,9.22,US,2021-06-16 22:13:54
39,Gaya,24.7833,85.0,78.53,88,100,4.0,IN,2021-06-16 22:11:05
40,Furano,43.2818,142.4743,58.5,81,98,1.5,JP,2021-06-16 22:14:24
41,Victor Harbor,-35.5667,138.6167,54.32,93,16,9.78,AU,2021-06-16 22:14:24
42,Chirongui,-12.9319,45.1483,75.13,68,3,9.33,YT,2021-06-16 22:14:25
43,Limenaria,40.6261,24.5786,70.77,74,19,2.08,GR,2021-06-16 22:14:25
44,Fray Bentos,-33.1325,-58.2956,48.72,75,100,8.28,UY,2021-06-16 22:14:25
45,Neiafu,-18.65,-173.9833,79.48,78,75,6.91,TO,2021-06-16 22:14:26
46,Marystown,47.1666,-55.1483,51.35,98,100,3.38,CA,2021-06-16 22:11:11
47,Doha,25.2867,51.5333,96.78,24,0,11.5,QA,2021-06-16 22:13:36
48,Kumul,42.8,93.45,73.76,17,88,5.14,CN,2021-06-16 22:14:27
49,Turaif,31.6725,38.6637,68.22,44,0,13.8,SA,2021-06-16 22:14:27
50,Wenling,28.3669,121.36,79.88,95,99,4.56,CN,2021-06-16 22:14:28
51,Alta Floresta,-9.8756,-56.0861,80.94,55,77,2.19,BR,2021-06-16 22:14:28
52,Pemangkat,1.1667,108.9667,77.25,89,85,4.79,ID,2021-06-16 22:14:28
53,Severo-Kuril'sk,50.6789,156.125,48.09,80,80,8.23,RU,2021-06-16 22:14:29
54,Payo,-3.7508,103.6372,70.56,96,96,1.79,ID,2021-06-16 22:14:29
55,Camacha,33.0833,-16.3333,65.61,77,75,13.8,PT,2021-06-16 22:14:30
56,ConstituciÃ³n,-35.3333,-72.4167,55.49,83,62,2.35,CL,2021-06-16 22:14:30
57,Butaritari,3.0707,172.7902,83.53,73,85,13.78,KI,2021-06-16 22:14:30
58,Pochutla,15.7432,-96.4661,75.81,96,100,6.71,MX,2021-06-16 22:14:31
59,Tuy Hoa,13.0833,109.3,78.1,80,97,6.58,VN,2021-06-16 22:14:31
60,Aloleng,16.1307,119.7824,81.79,77,70,8.19,PH,2021-06-16 22:14:32
61,San Blas,21.5167,-105.2667,96.69,66,26,11.7,MX,2021-06-16 22:14:32
62,Prieta,15.5833,-86.1833,85.42,86,100,2.93,HN,2021-06-16 22:14:33
63,Kapaa,22.0752,-159.319,76.93,84,75,1.99,US,2021-06-16 22:14:33
64,Carnarvon,-24.8667,113.6333,50.07,58,0,11.5,AU,2021-06-16 22:14:33
65,Corinth,37.9407,22.9573,70.05,64,0,2.04,GR,2021-06-16 22:10:29
66,Rome,34.257,-85.1647,83.59,43,0,1.99,US,2021-06-16 22:14:21
67,Kiryat Gat,31.61,34.7642,66.97,100,1,5.28,IL,2021-06-16 22:14:34
68,Auki,-8.7676,160.7034,82.08,72,13,3.4,SB,2021-06-16 22:14:35
69,Lebu,-37.6167,-73.65,54.19,82,54,6.53,CL,2021-06-16 22:14:35
70,Codrington,-38.2667,141.9667,48.81,81,97,4.56,AU,2021-06-16 22:14:35
71,Road Town,18.4167,-64.6167,84.11,74,40,13.8,VG,2021-06-16 22:10:57
72,Port Lincoln,-34.7333,135.8667,56.44,78,98,12.59,AU,2021-06-16 22:10:30
73,Launceston,-41.45,147.1667,45.14,95,100,3.0,AU,2021-06-16 22:14:36
74,Tongliao,43.6125,122.2653,64.49,65,100,15.12,CN,2021-06-16 22:14:37
75,Hasaki,35.7333,140.8333,68.68,78,100,5.93,JP,2021-06-16 22:14:37
76,Malindi,-3.2175,40.1191,76.44,77,96,15.93,KE,2021-06-16 22:14:37
77,Bangarapet,12.9667,78.2,70.79,80,100,17.07,IN,2021-06-16 22:14:38
78,Seddon,-37.8068,144.8916,45.97,92,40,1.01,AU,2021-06-16 22:14:38
79,Pickerington,39.8842,-82.7535,74.7,32,1,4.61,US,2021-06-16 22:11:57
80,Tuban,-6.8976,112.0649,76.93,86,90,5.55,ID,2021-06-16 22:14:39
81,Aksu,41.1231,80.2644,67.86,37,90,8.34,CN,2021-06-16 22:14:39
82,Tautira,-17.7333,-149.15,82.42,81,96,21.94,PF,2021-06-16 22:14:40
83,Lundazi,-12.2929,33.1782,53.29,67,0,5.77,ZM,2021-06-16 22:14:40
84,Faanui,-16.4833,-151.75,81.21,74,100,21.12,PF,2021-06-16 22:14:41
85,Padang,-0.9492,100.3543,71.65,77,37,3.78,ID,2021-06-16 22:14:41
86,Sur,22.5667,59.5289,88.48,54,1,4.7,OM,2021-06-16 22:14:41
87,Kavieng,-2.5744,150.7967,82.8,69,86,9.35,PG,2021-06-16 22:14:42
88,AgÃ¼imes,27.9054,-15.4461,68.07,70,20,16.11,ES,2021-06-16 22:14:42
89,Saint George,37.1041,-113.5841,113.18,8,1,1.99,US,2021-06-16 22:13:41
90,Rexburg,43.826,-111.7897,82.17,19,1,13.8,US,2021-06-16 22:14:43
91,Bambous Virieux,-20.3428,57.7575,69.22,77,80,15.23,MU,2021-06-16 22:14:43
92,Stephenville,32.2207,-98.2023,93.34,42,1,5.75,US,2021-06-16 22:14:43
93,Farah,32.5,62.5,75.29,8,0,11.1,AF,2021-06-16 22:14:44
94,Fond du Lac,43.775,-88.4388,75.07,49,3,1.43,US,2021-06-16 22:14:44
95,Saint-Philippe,-21.3585,55.7679,68.34,83,62,12.19,RE,2021-06-16 22:14:45
96,Ambilobe,-13.2,49.05,68.13,88,91,3.51,MG,2021-06-16 22:14:45
