,City_Name,City_Lat,City_Long,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
0,George Town,5.4112,100.3354,80.08,82,20,1.01,MY,2021-06-16 01:28:43
1,Guerrero Negro,27.9769,-114.0611,68.7,74,48,14.29,MX,2021-06-16 01:32:19
2,Moerai,-22.4333,-151.3333,74.64,75,96,24.52,PF,2021-06-16 01:32:20
3,Juan de Ayolas,-27.4,-56.9,53.94,83,56,10.09,PY,2021-06-16 01:32:21
4,Quatre Cocos,-20.2078,57.7625,70.09,85,13,5.86,MU,2021-06-16 01:32:22
5,Busselton,-33.65,115.3333,61.12,66,39,7.96,AU,2021-06-16 01:32:23
6,Rikitea,-23.1203,-134.9692,74.84,78,65,11.99,PF,2021-06-16 01:30:39
7,Te Anau,-45.4167,167.7167,50.0,91,96,0.83,NZ,2021-06-16 01:24:23
8,Kapaa,22.0752,-159.319,79.38,78,75,4.0,US,2021-06-16 01:32:26
9,Atuona,-9.8,-139.0333,79.3,77,29,23.64,PF,2021-06-16 01:24:26
10,Balabac,7.9868,117.0645,85.91,69,18,9.24,PH,2021-06-16 01:32:28
11,Torbay,47.6666,-52.7314,41.36,94,90,13.8,CA,2021-06-16 01:32:29
12,Hervey Bay,-25.2986,152.8535,66.04,94,18,3.0,AU,2021-06-16 01:32:30
13,Kovūr,14.4833,79.9833,88.14,47,99,13.85,IN,2021-06-16 01:32:32
14,Puerto Ayora,-0.7393,-90.3518,73.54,87,1,5.99,EC,2021-06-16 01:32:33
15,Alice Town,25.7167,-79.3,81.9,76,100,7.83,BS,2021-06-16 01:32:34
16,Victor Harbor,-35.5667,138.6167,52.29,76,89,18.25,AU,2021-06-16 01:32:35
17,Salalah,17.0151,54.0924,82.49,83,63,3.44,OM,2021-06-16 01:32:36
18,Gbarnga,6.9956,-9.4722,70.23,99,40,2.39,LR,2021-06-16 01:32:38
19,Jacareacanga,-6.2222,-57.7528,74.98,81,49,2.8,BR,2021-06-16 01:32:39
20,Imbituba,-28.24,-48.6703,62.49,89,100,13.65,BR,2021-06-16 01:32:40
21,Isangel,-19.55,169.2667,82.51,83,40,6.91,VU,2021-06-16 01:32:41
22,Faanui,-16.4833,-151.75,79.81,78,27,20.09,PF,2021-06-16 01:32:42
23,San Cristobal,7.7669,-72.225,69.98,93,62,2.42,VE,2021-06-16 01:32:43
24,Severo-Kuril'sk,50.6789,156.125,48.43,79,72,7.34,RU,2021-06-16 01:24:24
25,Ponta do Sol,32.6667,-17.1,69.35,76,16,7.09,PT,2021-06-16 01:32:45
26,Acapulco de Juárez,16.8634,-99.8901,82.22,83,90,5.75,MX,2021-06-16 01:32:43
27,Grand Gaube,-20.0064,57.6608,70.38,79,0,1.99,MU,2021-06-16 01:32:48
28,Phalaborwa,-23.943,31.1411,54.68,53,0,3.83,ZA,2021-06-16 01:32:49
29,Kantunilkín,21.0917,-87.45,80.44,98,100,5.39,MX,2021-06-16 01:32:50
30,Ambanja,-13.6833,48.45,67.73,92,30,4.41,MG,2021-06-16 01:32:51
31,Bubaque,11.2833,-15.8333,79.5,72,100,3.98,GW,2021-06-16 01:32:52
32,Lichinga,-13.3128,35.2406,47.5,90,84,4.72,MZ,2021-06-16 01:32:53
33,Valréas,44.3837,4.9908,68.67,75,5,3.6,FR,2021-06-16 01:32:55
34,Nara,34.6851,135.8049,71.62,93,100,5.35,JP,2021-06-16 01:32:56
35,Arraial do Cabo,-22.9661,-42.0278,69.24,72,0,8.19,BR,2021-06-16 01:30:59
36,Eydhafushi,5.1033,73.0708,82.71,71,100,17.6,MV,2021-06-16 01:32:58
37,Kavieng,-2.5744,150.7967,84.81,70,28,10.98,PG,2021-06-16 01:32:59
38,Sakrand,26.1384,68.2736,82.35,78,0,11.5,PK,2021-06-16 01:33:00
39,Formosa,-26.1775,-58.1781,60.78,82,90,12.66,AR,2021-06-16 01:33:01
40,Yatou,37.15,122.3833,73.0,70,94,11.7,CN,2021-06-16 01:33:03
41,Havelock,34.8791,-76.9013,70.97,95,100,5.57,US,2021-06-16 01:33:04
42,Hermanus,-34.4187,19.2345,57.9,86,100,6.55,ZA,2021-06-16 01:33:05
43,Mahébourg,-20.4081,57.7,68.29,100,75,4.61,MU,2021-06-16 01:33:06
44,East London,-33.0153,27.9116,63.73,56,86,5.08,ZA,2021-06-16 01:30:07
45,Hasaki,35.7333,140.8333,77.58,70,100,7.16,JP,2021-06-16 01:33:08
46,Nikolskoye,59.7035,30.7861,50.67,90,2,4.7,RU,2021-06-16 01:33:09
47,Hilo,19.7297,-155.09,80.42,61,1,8.05,US,2021-06-16 01:32:37
48,Camacupa,-12.0167,17.4833,50.9,40,4,3.8,AO,2021-06-16 01:33:11
49,Gemeente Wageningen,51.9667,5.6667,57.83,85,90,3.44,NL,2021-06-16 01:33:13
50,Porto-Novo,6.4965,2.6036,82.22,88,93,6.29,BJ,2021-06-16 01:33:14
51,Oussouye,12.485,-16.5469,80.08,84,98,10.98,SN,2021-06-16 01:33:15
52,Sikasso,10.9167,-7.0,73.71,86,99,4.9,ML,2021-06-16 01:33:16
53,Bronzani Majdan,44.7869,16.9311,52.75,77,100,3.29,BA,2021-06-16 01:33:17
54,Port Blair,11.6667,92.75,83.5,79,100,18.07,IN,2021-06-16 01:33:18
55,Coos Bay,43.3665,-124.2179,63.19,77,1,9.22,US,2021-06-16 01:28:39
56,Alice Springs,-23.7,133.8833,58.55,36,100,9.22,AU,2021-06-16 01:24:17
57,Laas,46.6166,10.7002,61.45,85,100,2.93,IT,2021-06-16 01:33:22
58,Vanimo,-2.6741,141.3028,84.33,68,100,5.88,PG,2021-06-16 01:33:23
59,Corn Island,12.1694,-83.0418,81.64,80,100,11.88,NI,2021-06-16 01:33:24
